iter	Passed	Remaining
415	2846	3996
416	2852	3988
417	2858	3980
418	2864	3972
419	2871	3965
420	2877	3957
421	2883	3949
422	2889	3941
423	2896	3934
424	2902	3927
425	2908	3919
426	2915	3911
427	2921	3904
428	2927	3896
429	2933	3888
430	2939	3881
431	2946	3873
432	2953	3868
433	2961	3861
434	2967	3854
435	2973	3846
436	2979	3838
437	2985	3831
438	2992	3823
439	2998	3815
440	3003	3807
441	3009	3799
442	3016	3792
443	3022	3785
444	3028	3777
445	3036	3771
446	3042	3763
447	3048	3755
448	3053	3747
449	3060	3740
450	3066	3732
451	3072	3725
452	3078	3717
453	3084	3709
454	3090	3702
455	3096	3694
456	3102	3686
457	3108	3678
458	3114	3671
459	3121	3663
460	3127	3656
461	3133	3649
462	3139	3641
463	3145	3633
464	3151	3626
465	3157	3618
466	3163	3610
467	3170	3603
468	3175	3595
469	3185	3591
470	3192	3585
471	3198	3578
472	3205	3570
473	3211	3563
474	3217	3556
475	3223	3549
476	3230	3541
477	3236	3534
478	3242	3526
479	3248	3519
480	3255	3512
481	3262	3506
482	3270	3500
483	3276	3493
484	3284	3487
485	3290	3480
486	3300	3476
487	3308	3471
488	3318	3468
489	3327	3462
490	3335	3457
491	3349	3458
492	3355	3450
493	3362	3443
494	3369	3437
495	3375	3429
496	3381	3422
497	3387	3414
498	3392	3406
499	3399	3399
500	3404	3391
501	3411	3383
502	3416	3376
503	3422	3368
504	3428	3360
505	3434	3353
506	3440	3345
507	3446	3337
508	3452	3330
509	3457	3322
510	3463	3314
511	3469	3307
512	3476	3300
513	3482	3293
514	3488	3285
515	3494	3277
516	3500	3270
517	3506	3263
518	3513	3255
519	3519	3248
520	3525	3241
521	3531	3233
522	3537	3226
523	3543	3218
524	3549	3211
525	3556	3204
526	3562	3197
527	3567	3189
528	3573	3182
529	3579	3174
530	3586	3167
531	3593	3161
532	3599	3153
533	3605	3146
534	3611	3139
535	3617	3131
536	3623	3124
537	3629	3116
538	3635	3109
539	3641	3102
540	3647	3094
541	3653	3087
542	3659	3080
543	3665	3072
544	3671	3065
545	3677	3057
546	3683	3050
547	3689	3043
548	3695	3035
549	3701	3028
550	3707	3021
551	3714	3014
552	3720	3007
553	3726	2999
554	3733	2993
555	3739	2985
556	3745	2978
557	3751	2971
558	3757	2964
559	3763	2957
560	3770	2950
561	3776	2942
562	3783	2936
563	3789	2929
564	3795	2921
565	3800	2914
566	3807	2907
567	3813	2900
568	3819	2893
569	3825	2886
570	3831	2878
571	3838	2872
572	3844	2865
573	3851	2858
574	3858	2851
575	3864	2844
576	3870	2837
577	3877	2830
578	3883	2823
579	3889	2816
580	3895	2809
581	3901	2802
582	3907	2794
583	3912	2787
584	3918	2780
585	3925	2773
586	3931	2765
587	3937	2758
588	3943	2751
589	3949	2744
590	3955	2737
591	3961	2730
592	3967	2722
593	3973	2715
594	3979	2708
595	3986	2702
596	3992	2694
597	3998	2687
598	4004	2680
599	4009	2673
600	4015	2665
601	4021	2658
602	4027	2651
603	4034	2644
604	4039	2637
605	4045	2630
606	4051	2623
607	4057	2616
608	4063	2609
609	4070	2602
610	4075	2594
611	4082	2588
612	4088	2581
613	4095	2574
614	4101	2567
615	4107	2560
616	4113	2553
617	4119	2546
618	4125	2539
619	4131	2532
620	4137	2525
621	4144	2518
622	4150	2511
623	4157	2504
624	4163	2498
625	4169	2491
626	4175	2484
627	4181	2477
628	4187	2470
629	4193	2463
630	4202	2457
631	4208	2450
632	4214	2443
633	4220	2436
634	4228	2430
635	4234	2423
636	4241	2417
637	4247	2410
638	4254	2403
639	4261	2397
640	4267	2390
641	4274	2383
642	4281	2376
643	4287	2369
644	4294	2363
645	4300	2356
646	4307	2350
647	4313	2343
648	4320	2336
649	4326	2329
650	4332	2322
651	4339	2316
652	4345	2309
653	4351	2302
654	4358	2295
655	4365	2289
656	4372	2282
657	4379	2276
658	4385	2269
659	4391	2262
660	4398	2255
661	4404	2248
662	4411	2242
663	4417	2235
664	4423	2228
665	4429	2221
666	4436	2214
667	4442	2207
668	4447	2200
669	4454	2194
670	4460	2186
671	4466	2180
672	4472	2173
673	4478	2166
674	4485	2159
675	4491	2152
676	4497	2145
677	4503	2138
678	4509	2131
679	4515	2124
680	4521	2118
681	4527	2111
682	4534	2104
683	4539	2097
684	4545	2090
685	4551	2083
686	4557	2076
687	4563	2069
688	4570	2063
689	4576	2056
690	4583	2049
691	4589	2042
692	4594	2035
693	4601	2028
694	4607	2021
695	4613	2015
696	4619	2008
697	4625	2001
698	4631	1994
