iter	MultiClass
240	1.324960753
241	1.323681705
242	1.322509904
243	1.321944949
244	1.320339025
245	1.319261007
246	1.318008103
247	1.317215167
248	1.316159855
249	1.314824147
250	1.31377136
251	1.312865033
252	1.311931331
253	1.310883108
254	1.309827229
255	1.308893403
256	1.307858306
257	1.306960966
258	1.305716169
259	1.304549612
260	1.303656135
261	1.302620011
262	1.30201612
263	1.301322284
264	1.300076204
265	1.298993746
266	1.298221646
267	1.297330806
268	1.296645853
269	1.295724024
270	1.29484388
271	1.293745948
272	1.292882108
273	1.291911559
274	1.291005846
275	1.29030541
276	1.289677844
277	1.288755373
278	1.287906095
279	1.287297993
280	1.286166112
281	1.285230864
282	1.284423871
283	1.283835725
284	1.283006719
285	1.281929088
286	1.280983861
287	1.279975254
288	1.27885757
289	1.278320159
290	1.277608127
291	1.276509064
292	1.275787059
293	1.275017709
294	1.274326803
295	1.273524258
296	1.272533657
297	1.271782688
298	1.271127628
299	1.270557973
300	1.269770162
301	1.268971166
302	1.26827496
303	1.267565502
304	1.266972028
305	1.266333995
306	1.265807378
307	1.264983019
308	1.264440445
309	1.263565942
310	1.262805938
311	1.262235621
312	1.26164423
313	1.260736693
314	1.260096236
315	1.259498747
316	1.259004134
317	1.258274106
318	1.257684545
319	1.256899548
320	1.2562255
321	1.255646386
322	1.255188924
323	1.254327374
324	1.253474316
325	1.25302797
326	1.25265439
327	1.25198698
328	1.251395404
329	1.250854545
330	1.249949106
331	1.249354496
332	1.248729692
333	1.248195032
334	1.247553758
335	1.246856251
336	1.246365826
337	1.245556859
338	1.244992832
339	1.244500898
340	1.243752147
341	1.243200744
342	1.242581159
343	1.241924344
344	1.241298858
345	1.240695652
346	1.240233225
347	1.239482708
348	1.239001714
349	1.238296483
350	1.237962249
351	1.237489079
352	1.237146503
353	1.236360748
354	1.235789104
355	1.235259716
356	1.234804634
357	1.234205246
358	1.233836559
359	1.233371
360	1.232894306
361	1.232334945
362	1.231728748
363	1.231238026
364	1.230716771
365	1.230156511
366	1.229546815
367	1.229054126
368	1.228562384
369	1.227955964
370	1.227513862
371	1.226953556
372	1.226148271
373	1.225572859
374	1.224974154
375	1.224439385
376	1.224100727
377	1.223598833
378	1.223113899
379	1.222466609
380	1.222026364
381	1.221480009
382	1.220982935
383	1.220645746
384	1.220188062
385	1.219419537
386	1.21901883
387	1.218595806
388	1.218206991
389	1.217523213
390	1.217117738
391	1.216752871
392	1.21638926
393	1.215909744
394	1.215370746
395	1.214929648
396	1.214463789
397	1.213918077
398	1.213562236
399	1.213039735
400	1.212598514
401	1.212010226
402	1.211592328
403	1.211006625
404	1.210658576
405	1.210106531
406	1.209718209
407	1.209177938
408	1.208716827
409	1.208135071
410	1.207626579
411	1.207221343
412	1.206778117
413	1.206466165
414	1.206020821
415	1.205639169
416	1.205320035
417	1.20500954
418	1.204602578
419	1.204091757
420	1.203723181
421	1.203189773
422	1.202741424
423	1.202294281
424	1.201899707
425	1.201482517
426	1.200959753
427	1.200623678
428	1.200153877
429	1.199787857
430	1.199417551
431	1.199034073
432	1.198454433
433	1.198058253
434	1.197548677
435	1.197098453
436	1.196634649
437	1.196310013
438	1.19607048
439	1.195693258
440	1.195312254
441	1.195041906
442	1.194733617
443	1.194434523
444	1.194076775
445	1.19345995
446	1.192947524
447	1.192554664
448	1.192284511
449	1.191940687
450	1.191595596
451	1.191036836
452	1.190602378
453	1.190241056
454	1.189906441
455	1.189642256
456	1.189084558
457	1.188701583
458	1.188371163
459	1.188089701
460	1.187642795
461	1.187230671
462	1.186847284
463	1.186596094
464	1.186199414
465	1.185928984
466	1.185517805
467	1.185201796
468	1.184931332
469	1.184623992
470	1.184323186
471	1.184019179
472	1.18372616
473	1.183443293
474	1.183076115
475	1.182787449
476	1.1824337
477	1.182052872
478	1.181886716
479	1.181595018
480	1.181203584
481	1.180936684
482	1.180509604
483	1.180168811
484	1.179877338
485	1.179531332
486	1.179200073
487	1.178737549
488	1.178474137
489	1.178166148
490	1.177938965
491	1.177677129
492	1.177405185
493	1.177125457
494	1.176869321
495	1.176396399
496	1.176176677
497	1.175915845
498	1.175654846
499	1.175263291
500	1.175009287
501	1.174759162
502	1.174512888
503	1.174272517
504	1.17393
505	1.173601206
506	1.173323347
507	1.173109543
508	1.17287816
509	1.172585148
510	1.172324547
511	1.172108
512	1.171823939
513	1.171582568
514	1.171355869
515	1.171152335
516	1.170935065
517	1.17078303
518	1.170579165
519	1.170258484
520	1.169842846
521	1.169534974
522	1.169320852
523	1.169043458
524	1.168603928
525	1.168278118
526	1.168042486
527	1.167760662
528	1.167543642
529	1.167264932
530	1.166970519
531	1.166812879
532	1.166558642
533	1.166282197
534	1.165979975
535	1.165741033
536	1.16544824
537	1.165262173
538	1.165095908
539	1.16488279
540	1.164596576
541	1.164332738
542	1.164074189
543	1.163873373
544	1.163570299
545	1.163238806
546	1.163033702
547	1.162824737
548	1.162595117
549	1.16239009
550	1.162123556
551	1.161892324
552	1.161633884
553	1.161315342
554	1.161116521
555	1.160888559
556	1.160604428
557	1.160407279
558	1.16025816
559	1.15999544
560	1.15977945
561	1.159561113
562	1.159411434
563	1.159225875
564	1.159032769
565	1.158812731
566	1.15859398
567	1.158418199
568	1.15800019
569	1.157654917
570	1.157409347
571	1.157168965
572	1.156981148
573	1.156728387
574	1.156491132
575	1.156235513
576	1.15598271
577	1.155789246
578	1.155579242
579	1.155339672
580	1.155108953
581	1.154867197
582	1.154687798
583	1.15449367
584	1.154331177
585	1.154141069
586	1.153968582
587	1.153798602
588	1.153624616
589	1.153430341
590	1.15324855
591	1.152844171
592	1.15263972
593	1.152262718
594	1.152105431
595	1.151902497
596	1.15174193
597	1.15154563
598	1.151397729
599	1.151184672
600	1.151038246
601	1.1508799
602	1.150644898
603	1.150462435
604	1.150259902
605	1.150115748
606	1.149962937
607	1.149795018
608	1.14963612
609	1.149405495
610	1.149242835
611	1.149062363
612	1.148871507
613	1.148699372
614	1.148418534
615	1.148221351
616	1.148094762
617	1.147784863
618	1.147531273
619	1.147416676
620	1.147266085
621	1.146954824
622	1.146776757
623	1.146618835
624	1.146471527
625	1.146244935
626	1.146093537
627	1.145979959
628	1.145825814
629	1.145671578
630	1.145368717
631	1.145216698
632	1.145089244
633	1.144957534
634	1.144740776
635	1.144612296
636	1.144439018
637	1.144285334
638	1.144147746
639	1.144009692
640	1.143871126
641	1.143720054
642	1.143561699
643	1.143369096
644	1.143182847
645	1.142803265
646	1.142676997
647	1.142481062
648	1.14231996
649	1.142192064
650	1.141931547
651	1.141800411
652	1.141667005
653	1.14154232
654	1.141343494
655	1.141146808
656	1.141054603
657	1.140861965
658	1.140723024
659	1.140512819
660	1.140209886
661	1.140084519
662	1.139907111
663	1.139769405
664	1.139622693
665	1.139412104
666	1.139283129
667	1.139200764
668	1.138971991
669	1.138787612
670	1.138678116
671	1.138568117
672	1.138412008
673	1.138242268
674	1.138101271
675	1.137997434
676	1.137857334
677	1.137726728
678	1.137434939
679	1.137142687
680	1.137019859
681	1.136884424
682	1.136772036
683	1.13667764
684	1.136561541
685	1.136422616
686	1.136289928
687	1.136085681
688	1.135927204
689	1.135720898
690	1.135575695
691	1.135331948
692	1.135008605
693	1.13477028
694	1.134655977
695	1.134528148
696	1.134412626
697	1.134258214
698	1.134130717
699	1.134022799
700	1.133847352
701	1.13373781
702	1.133630448
703	1.133526721
704	1.133407812
705	1.133271292
706	1.133106311
707	1.133003401
708	1.132892175
709	1.132756129
710	1.132596979
711	1.132494798
712	1.132295902
713	1.132191238
714	1.132091453
715	1.131939356
716	1.131766057
717	1.131632389
718	1.131489675
719	1.13139161
720	1.131231294
721	1.131081003
722	1.130955222
723	1.130693373
724	1.130489999
725	1.130340375
726	1.130230266
727	1.130027712
728	1.129872103
729	1.129733435
730	1.129604762
731	1.129360708
732	1.129245407
733	1.129114904
734	1.128990914
735	1.128770243
736	1.1286967
737	1.12855246
738	1.128451509
739	1.128307649
740	1.128209219
741	1.128096092
742	1.127980359
743	1.127876568
744	1.127629313
745	1.127532988
746	1.127423084
747	1.127321954
748	1.127220937
749	1.127127725
750	1.126976247
751	1.126862698
752	1.126790727
753	1.126677381
754	1.126595881
755	1.12643962
756	1.126303424
757	1.126197361
758	1.126034498
759	1.125943412
760	1.125833069
761	1.125682918
762	1.125575267
763	1.125490065
764	1.125424009
765	1.125212102
766	1.125128364
767	1.125021883
768	1.124916575
769	1.124781787
770	1.124658599
771	1.124500338
772	1.124418576
773	1.124282133
774	1.124168657
775	1.124056699
776	1.123912852
777	1.123789794
778	1.123730672
779	1.12365241
780	1.123552846
781	1.123458477
782	1.123367739
783	1.123219281
784	1.123142471
785	1.123011628
786	1.122927207
787	1.122759777
788	1.122621085
789	1.122545984
790	1.122419971
791	1.122227866
792	1.122120932
793	1.121903507
794	1.121805809
795	1.121699838
796	1.121558724
797	1.121464114
798	1.121379701
799	1.121291809
800	1.121203691
801	1.121124497
802	1.121052332
803	1.120872704
804	1.120780059
805	1.120598907
806	1.120469587
807	1.120349163
808	1.120234863
809	1.120077894
810	1.120006814
811	1.119888288
812	1.119736793
813	1.119636868
814	1.119392331
815	1.119324519
816	1.119247261
817	1.11906895
818	1.118943401
819	1.118862899
820	1.118769047
821	1.118656898
822	1.118504807
823	1.118392649
824	1.118209027
825	1.118121498
826	1.118038917
827	1.117928641
828	1.117806446
829	1.117662114
830	1.117539679
831	1.117463766
832	1.117367817
833	1.11725706
834	1.117119904
835	1.117045564
836	1.116974074
837	1.116894967
838	1.116812472
839	1.116625709
840	1.116540113
841	1.1164304
842	1.116352124
843	1.116265122
844	1.116201749
845	1.116128854
846	1.116054985
847	1.115988143
848	1.115904378
849	1.115800279
850	1.115723295
851	1.115489595
852	1.115407484
853	1.115336818
854	1.115254694
855	1.115172235
856	1.115071424
857	1.114982279
858	1.114799399
859	1.114732346
860	1.114653224
861	1.114553839
862	1.114475724
863	1.114407429
864	1.114314706
865	1.114140185
866	1.114007277
867	1.113936957
868	1.113823323
869	1.113666099
870	1.113539999
871	1.11346202
872	1.113311933
873	1.113231182
874	1.113151806
875	1.113089252
876	1.112853352
877	1.112773288
878	1.112701326
879	1.112610197
880	1.112485405
881	1.112421996
882	1.112220609
883	1.112131991
884	1.112083963
885	1.111994184
886	1.111915304
887	1.111850827
888	1.111758627
889	1.111691622
890	1.111556349
891	1.111422755
892	1.111190464
893	1.111035867
894	1.110957672
895	1.110861079
896	1.110772587
897	1.110700069
898	1.110636937
899	1.110552442
900	1.110490571
901	1.110424967
902	1.110327623
903	1.110264728
904	1.110197803
905	1.110111429
906	1.110041632
907	1.109958998
908	1.109910207
909	1.109807445
910	1.109620907
911	1.109557243
912	1.109356178
913	1.109299732
914	1.109204636
915	1.10912721
916	1.109065326
917	1.1090125
918	1.108945381
919	1.108851826
920	1.108791837
921	1.108724411
922	1.108608102
923	1.108487447
924	1.108433331
925	1.108249018
926	1.108037563
927	1.107983876
928	1.107916573
929	1.107858266
930	1.107805415
931	1.107589706
932	1.107537979
933	1.107487289
934	1.107359078
935	1.107271554
936	1.107208058
937	1.107143004
938	1.107092616
939	1.107008902
940	1.106955038
941	1.106776299
942	1.106677068
943	1.106566341
944	1.106507347
945	1.106424347
946	1.106375928
947	1.106302825
948	1.10621532
949	1.106152273
950	1.10608301
951	1.105883326
952	1.105829008
953	1.105722429
954	1.105672271
955	1.105603992
956	1.105531961
957	1.105360162
958	1.105299816
959	1.10520842
960	1.105147681
961	1.105062175
962	1.104957463
963	1.104912248
964	1.104818259
965	1.104770341
966	1.10471334
967	1.104652619
968	1.104530549
969	1.104432929
970	1.104372373
971	1.104175405
972	1.104125062
973	1.104072188
974	1.104009006
975	1.103951391
976	1.103862628
977	1.103773879
978	1.103733222
979	1.103647092
980	1.103582248
981	1.103526195
982	1.103478409
983	1.103421396
984	1.103340136
985	1.103260438
986	1.103187338
987	1.103123665
988	1.103066537
989	1.102920176
990	1.102857327
991	1.102816758
992	1.102732504
993	1.102653257
994	1.102585188
995	1.102538467
996	1.10246464
997	1.10241893
998	1.102335191
999	1.102271508
